3261041.122824,   -6005417.657590,    703488.879358
3256606.488940,   -6023304.825865,    555083.312624
3210018.595049,   -6070449.895915,    -189412.451200
2986082.558892,   -5937464.635834,    -1734786.916719
2971413.668544,   -5923294.170590,    -1806742.368925
2909321.664025,   -5859556.169291,    -2092335.301630
2859246.445522,   -5804383.703428,    -2303954.245060
2361136.756446,   -5142678.163170,    -3890200.515551
2263278.788389,   -4995955.804619,    -4131636.146639
2135918.724762,   -4798795.564533,    -4422399.918963
1866299.628898,   -4360706.836739,    -4963965.480950
1580238.253573,   -3868361.323066,    -5447039.756752
1550889.219157,   -3816349.297394,    -5491906.846983
1342379.234410,   -3439102.773376,    -5787574.106870
1281947.724998,   -3327270.976082,    -5865988.417369
1251610.566191,   -3270711.960539,    -5904161.826833
882925.738375,   -2561127.585918,    -6306837.499286
51798.992525,   -805757.094357,    -6815491.997992
51798.992525,   -805757.094357,    -6815491.997992
-330774.289828,   83768.327491,    -6854491.254165
-1044374.927482,   1926664.195070,    -6503886.478946
-1633552.906022,   3748173.707804,    -5513531.108661
-1756633.368204,   4197389.177660,    -5139782.745294
-1770728.040533,   4251508.913848,    -5090288.138971
-1836821.311721,   4514860.877366,    -4833963.922556
-1956108.196807,   5048523.524453,    -4221205.531877
-2082372.235795,   5868669.193638,    -2892965.874777
-2091345.352608,   5992251.573823,    -2620799.650953
-2092844.337327,   6021419.331308,    -2551968.588266
-2094047.088248,   6049888.154446,    -2482837.868126
-2057426.977057,   6467331.870416,    -1050062.209951
-1997812.369890,   6563427.078318,    -311007.981977
-1872339.249186,   6567816.258770,    727689.968460
-1481787.820404,   6094878.275710,    2798655.571144
-1400251.548982,   5949604.111897,    3133249.756408
-1366710.897407,   5886465.472506,    3264558.023083
-1332677.400691,   5820494.757741,    3394328.318085
-1315483.486846,   5786456.583982,    3458617.725558
-1280756.664052,   5716293.801421,    3585967.460770
-1263229.942837,   5680177.113909,    3649012.908514
-1263229.942837,   5680177.113909,    3649012.908514
-932863.837119,   4917343.114620,    4703519.689676
-760665.438333,   4461510.270385,    5166100.700509
-741390.034114,   4408059.201806,    5214545.418729
-586833.133906,   3961606.437092,    5579622.902638
-318428.739120,   3107606.234462,    6116392.919029
-77537.581096,   2246476.216804,    6489594.831093
415476.545256,   105756.735598,    6854474.740596
577828.491415,   -771623.576420,    6799993.607559
736162.159811,   -1781102.424036,    6592253.857745
915954.459671,   -3347143.929255,    5927576.783374
941196.119515,   -3664313.355734,    5732975.663420
953936.959387,   -3849650.060216,    5608134.988204
981370.728135,   -4381046.092768,    5198755.445105
992802.742902,   -4871506.863361,    4740150.002199
983902.649903,   -5453477.527991,    4059634.670986
981955.763665,   -5497972.143265,    3999672.664320
972373.271408,   -5669473.799228,    3755211.010773
895684.593621,   -6305487.508163,    2574947.157161
889920.038667,   -6333984.522181,    2506086.079763
754450.424735,   -6730173.594888,    1151303.726736
737621.268574,   -6755419.097304,    1004853.779548
711583.079241,   -6787287.285623,    784318.022995
517884.245609,   -6813888.446640,    -695705.849497
400912.515667,   -6690593.348764,    -1500185.585203
280578.896354,   -6471161.021520,    -2283329.593905
280578.896354,   -6471161.021520,    -2283329.593905
236615.657690,   -6368091.037423,    -2560636.659272
138418.029735,   -6092189.392481,    -3166196.202206
32183.561099,   -5716924.881938,    -3803495.194096
1229.340567,   -5590861.432364,    -3986312.258630
-68840.793493,   -5273663.563374,    -4396186.463982
-116727.023307,   -5028152.502678,    -4673618.785427
-153543.334192,   -4820935.769680,    -4885737.583486
-320216.919205,   -3592358.093135,    -5840547.525535
-475313.205319,   -869173.915936,    -6791120.493422
-478373.212232,   -498038.821822,    -6828090.148922
-478286.777571,   -274589.219909,    -6840695.276755
-456249.502554,   842117.177956,    -6795717.336649
-437478.586532,   1284078.920452,    -6727532.905763
-383501.387057,   2149486.578149,    -6506593.834430
-171860.970037,   4060647.461630,    -5531668.882189
-56776.625013,   4742799.887125,    -4962706.662531
26575.328714,   5152993.591524,    -4536245.088209
48092.385735,   5249510.110474,    -4424178.924751
125155.085239,   5567290.207203,    -4015941.792302
125155.085239,   5567290.207203,    -4015941.792302
170201.603345,   5734380.925776,    -3772137.239728
204356.572556,   5852532.853312,    -3584606.437823
400668.259318,   6400075.831203,    -2456362.964834
481035.427304,   6562461.658576,    -1965304.246201
515063.292849,   6620385.233706,    -1751215.111001
816409.218758,   6809161.254146,    379580.277347
877772.665622,   6753029.517211,    896381.456407
933136.340845,   6657752.987946,    1408045.518226
940514.052730,   6640979.607930,    1480548.898970
1033460.136739,   6296684.043848,    2542569.496441
1091893.862607,   4714383.973461,    4874430.893311
1087078.654872,   4606495.156113,    4977532.416375
1078298.709269,   4440692.473648,    5127800.202353
1067642.060405,   4270288.774970,    5272667.058475
1050502.955677,   4036250.520710,    5457160.036737
